sha,date,chrome,firefox,safari
5fbf8edf24,2019-04-25,26884.376593456378,24781.734874751233,20699.863024885708
d3cf77a7b8,2019-04-26,26913.450972077637,24794.023790244042,20739.215884430112
4accec3d14,2019-04-27,26914.628990856603,24797.81942516468,20572.283849088548
301ce26e6c,2019-04-28,26913.449489380113,24809.221690909686,20741.148576266634
3b0853b41c,2019-04-29,26919.06136658777,24810.966760236886,20574.362161851208
d73b07b850,2019-04-30,26938.34877347243,24834.200809174054,20594.417619670658
c3e967c8c2,2019-05-01,26938.552024388177,24836.732645438147,20596.43335332775
855f4545b0,2019-05-02,26940.428825312625,24841.42279115343,20598.492905125353
a5cf7dfe76,2019-05-03,26948.63523556904,24850.16325986839,20604.51489070858
36bd2b98bf,2019-05-04,26948.465494342912,24851.32815040931,20605.071190852166
6ada53a180,2019-05-05,26949.428620106035,24853.832003455904,20603.08139282927
cff57ca49e,2019-05-07,26972.41989670578,24879.3706412518,20627.64767343877
36b5d2e074,2019-05-08,26994.523644982386,24895.81642471023,20642.629975259177
4daa4a007a,2019-05-09,27005.85628226354,24905.427600908006,20648.23639087057
f3248c35c9,2019-05-10,27014.447205229462,24916.816095894108,20661.676155723326
ce08475d48,2019-05-11,27033.453600002165,24929.913613634013,20674.746390150074
0c79d0d99c,2019-05-12,27032.813673262237,24927.07670324218,20674.594846866654
230bfb8583,2019-05-13,27032.39872971954,24926.845359665756,20674.509348392323
24278ab617,2019-05-14,27035.158117706684,24928.251128313757,20677.74543300325
453c1f5a49,2019-05-15,27086.486794432607,24968.661905056095,20716.56314330857
e8b0b32310,2019-05-16,27079.708985971705,24833.306052749987,20690.291570644695
2baa3391fc,2019-05-17,27136.26907536024,24852.232021463904,20719.444672028498
e90af5ab4b,2019-05-18,27140.097066813232,24970.487675541626,20722.776438887864
9f7c5d9b42,2019-05-19,27135.58488732605,24967.307632018837,20724.690813720652
6777c592f4,2019-05-20,27135.018577937877,24965.52338982734,20724.170353548816
b37f920d7a,2019-05-21,27148.6475451844,24980.289406533815,20735.913986575913
e9b2f877b4,2019-05-22,27165.95171308106,25063.30397844662,20752.88979955489
6ff4087961,2019-05-23,27178.02398263108,25086.23474204746,20762.479467532183
512a587ab7,2019-05-25,27197.37136809585,25093.481510118876,20773.71083756614
549968e3d9,2019-05-26,27195.14821553748,25060.052615437646,20772.10956699675
a4df0fa7be,2019-05-27,27204.660484382217,25093.98769280377,20772.5763548192
dfea0b6184,2019-05-28,27212.190816714487,25106.65603887487,20786.21727633936
3160ff6337,2019-05-29,27213.02468034541,25104.43642564851,20789.281322502164
4b7986331d,2019-05-30,27226.428125419254,25119.09126247835,20796.403041990627
1a853e011a,2019-05-31,27238.958467299595,25133.439454608797,20809.79365115211
0230c92b64,2019-06-01,27247.863757920924,25135.9187620256,20816.01849832899
14a5a020a8,2019-06-02,27252.04672495389,25144.85598121944,20993.772932478394
87fea094d8,2019-06-04,27257.720895511,25143.532971138764,21001.556401606107
c027c41a08,2019-06-05,27395.560823103136,25157.987874559072,21007.453104442477
6a9b97ac6d,2019-06-06,27394.649939389503,25167.42709233055,21019.92950433952
e646125ea5,2019-06-08,27417.481475584074,25170.647050385283,21027.936245612203
e7b1c6eb7d,2019-06-09,27420.94249901054,25182.419372624037,20838.657374225575
e360ebb2f9,2019-06-10,27421.28271184781,25179.174351755722,20841.344817796275
98e7dd165a,2019-06-11,27431.070996362032,25179.203904670976,20844.2794464276
eb12be23e4,2019-06-13,27464.45299944668,25210.175071369777,20866.894254147915
9bb8217b7e,2019-06-14,27475.896030582215,25220.12549924004,20876.96035357601
aabf9f6666,2019-06-15,27483.864929618827,25237.686127016877,20881.164530028556
4100d1d51b,2019-06-16,27480.132664661563,25232.471841302595,20882.820799141708
4be1e7e7b7,2019-06-18,27487.163366312852,25247.372319832615,20889.929544166545
b6c9dcc493,2019-06-19,27495.704244001397,25251.384007709283,20896.712828164917
43ef845198,2019-06-20,27496.95039784755,25251.680750712647,20900.314833119515
9c6304b71c,2019-06-21,27497.020269642424,25258.6265179672,21099.996790403682
47b08c1549,2019-06-22,27493.71624033839,25250.318845950744,21101.8338852811
59d66218e8,2019-06-25,27511.275111869516,25275.446159968724,21111.129849849684
66dc9c93f2,2019-06-26,27513.82539048524,25275.200128222692,21111.577313921956
b8cdc9bf2f,2019-08-23,28190.185787482944,25713.21437816393,21420.117818097002
449d483adb,2019-08-24,28213.924365571525,25711.092523674335,21425.862393437557
009615cf44,2019-08-25,28193.285670932833,25705.882109009,21425.794352520603
5bb0fcbe1a,2019-08-27,28323.402685781326,25487.260644839072,21453.305198148682
b690813a72,2019-08-28,28325.927888356524,25486.298673063608,21456.668771562723
cb808982de,2019-08-30,28329.514970386324,25504.67434833913,21466.12513719157
c34b04b97e,2019-08-31,28287.351646487426,25477.309169194963,21464.800658565215
8509904597,2019-09-01,28361.97038556996,25528.2750279247,21495.94005146956
629e3ba6a9,2019-09-02,28359.787052236625,25531.34570447997,21496.199972104485
ae96782156,2019-09-03,28358.471268994344,25532.826648571077,21502.77056389192
08e6411a9c,2019-09-04,28365.554939709593,25948.412121417296,21512.635448392968
7561b155e1,2019-09-05,28340.926702500714,25935.130026287196,21475.625300568707
820f0f8604,2019-09-08,28643.35772494897,26262.60024960138,21669.490255248857
07f11952d5,2019-09-10,28643.053955207994,26268.63312491673,21669.163675679454
305ef9380c,2019-09-12,29011.998330215094,26271.03159519356,21666.388960726395
b1cd3ae6f6,2019-09-13,29015.246383391095,26270.30659519356,21672.6254714063
bf42dca1ce,2019-09-15,29023.42671984074,26275.04828050303,21675.19754750705
3472889e27,2019-09-18,29023.952081936128,26316.321628327023,21705.88637420682
b52533c5a6,2019-09-19,29028.29086076856,26324.626060716262,21713.88670517196
6d3088b17a,2019-09-20,29025.370499297875,26329.222891940135,21716.34702414818
fc9345bfba,2019-09-21,29047.34279394223,26354.75467404692,21734.38876869203
42b4a3fa60,2019-09-22,29047.834246933675,26351.66300738025,21733.963277211038
2478ed1b80,2019-09-24,29064.455502486006,26369.584478556135,21751.548730460236
e7b232f535,2019-09-25,29077.548317976143,26382.62824140911,21732.845026008203
d3a712a2ef,2019-09-26,29086.774053728946,26395.52744007472,21738.179004530968
306955e5cf,2019-09-27,29095.8916083716,26408.83450704591,21755.40883594135
4ab3cef83d,2019-09-28,29107.313823492324,26409.356679599085,21761.30475297719
68abc3a55e,2019-09-30,29108.03838241964,26403.753901821314,21761.93785734844
81b79d799e,2019-10-02,29118.268363383493,26423.15124021402,21773.98723348877
c2eb1ace56,2019-10-03,29120.225542714354,26423.896081483872,21772.459952505324
7cbaaf651d,2019-10-04,29116.797942746463,26432.4593833041,21776.410450483545
585aa49b40,2019-10-05,29120.90252727827,26435.47995923061,21780.507297090815
daac9dc806,2019-10-06,29122.005642437965,26440.216070341725,21779.999334702963
080acb0967,2019-10-07,29120.027541000527,26447.17876875442,21782.76223152836
f951c9d8c7,2019-10-08,29819.671141522216,26833.539682084054,22163.262123684297
72fcf2b027,2019-10-09,29830.416316960807,26853.03488410425,22309.481037504247
ce015c1b52,2019-10-10,29824.141103285598,26857.293217437586,22305.31581826332
f9c9d79390,2019-10-11,29827.216588721727,26860.960727526854,22313.48076633562
0ab72f38a0,2019-10-13,29833.135772123886,26874.88632118542,22314.158929164147
823aecebaa,2019-10-14,29839.419342951005,26880.227987852082,22321.73708811799
20a55f606d,2019-10-15,29842.275142129976,26890.695912095936,22328.311570337544
50fa6ade9b,2019-10-16,29883.06837482321,26900.466114116138,22337.00452786311
1a58533866,2019-10-17,29897.03609891869,26910.66626539855,22354.633415003816
96e065ccc5,2019-10-18,29901.637883276482,26913.944065572443,22353.606547357977
42b683c0fa,2019-10-19,29904.9937311987,26922.932644644217,22356.79909747206
4e9c00e23f,2019-10-20,29913.91347974032,26929.67245945903,22367.734174756042
02fae42fbd,2019-10-21,29917.72480741849,26933.61170437482,22369.561872417817
fee6738f95,2019-10-22,29914.418353160938,26934.99759923024,22371.619554037872
e68120da0f,2019-10-24,30089.835753305513,27657.002302420406,22455.965550091183
bee8fe0740,2019-10-25,30090.19172703501,27661.835635753738,22464.79053349124
378214a209,2019-10-26,30095.79423750569,27657.15049431004,22463.920053108686
5e02df432f,2019-10-27,30093.127570839028,27665.014383198923,22462.87172381311
2a8f52c037,2019-10-28,30098.160904172357,27670.537673797222,22462.766925833315
d8c991aa1b,2019-10-29,30100.685229846684,27663.582875817418,22465.320685479463
971bd53b84,2019-10-30,30104.64899242753,27682.36951690864,22469.47939704036
fa36b9ea80,2019-10-31,30109.131673293843,27680.27175338882,22473.241604499814
f355fee849,2019-11-01,30110.996183783358,27676.40433017773,22472.17079760626
e76f87b526,2019-11-02,30110.133912141187,27680.566663609876,22465.118963073648
424249088d,2019-11-03,30115.08775829503,27675.536108054326,22470.067281116462
29675aba09,2019-11-13,30169.89007458188,27759.96521656289,22500.564600727135
3ee67ef03a,2019-11-14,30176.52907607144,27757.228835331065,22503.9701016593
97717bdf67,2019-11-15,30177.305485609613,27762.790600036944,22509.357880486423
295f22bfeb,2019-11-20,30180.334508443153,27786.55157729239,22523.635208968517
462f3c4680,2019-11-21,30187.456841755004,27788.53552110448,22522.415948711496
dff3a6865c,2019-11-22,30184.147159930704,27796.4658327226,22527.7731028214
51a95630a4,2019-11-23,30191.831758558124,27801.696248962195,22539.139612646322
ff1ea7c77e,2019-11-25,30194.709609533526,27923.93768922691,22545.635742984687
29cfeaf1ea,2019-11-26,30209.255095991513,27927.234101223323,22550.676882095315
5454021b2e,2019-11-27,30207.5744821609,27928.367504584665,22542.619657120253
733805e119,2019-11-28,30217.035981252015,27930.55906544407,22540.320758364207
1df8c00a83,2019-11-29,30223.75734877338,27944.78801405323,22562.433075053705
28b096731f,2019-12-03,30234.607470873507,27961.645669504578,22579.06468288509
eca8c168b2,2019-12-05,30010.616420558483,28133.52256934064,22582.569240900975
9f70d312fb,2019-12-06,30007.88414512606,28132.139289480834,22589.661963862094
8f704cc3b3,2019-12-07,30011.495790425204,28135.29871154373,22592.70702181656
091fc5233a,2019-12-08,30008.906367348285,28143.055119684544,22593.84278672585
445af40713,2019-12-09,30009.660472964893,28142.441588331414,22596.15465541272
928d8accde,2019-12-10,30011.85498234984,28138.58353896109,22599.694362774677
81948e1b84,2019-12-11,30119.15921612301,28154.131927037455,22590.97412181581
276ecb946b,2019-12-12,30115.62678080098,28189.691150809234,22593.66849214609
178762b6fc,2019-12-13,30118.21080680882,28192.316845147383,22755.907172281255
9c1f9d4446,2019-12-14,30081.10083923808,28156.79350723739,22760.592791749074
5e5a9f523a,2019-12-15,30082.84617029591,28150.05027291396,22761.880841934748
59bdd50610,2019-12-17,30127.112200673582,28161.315891635397,22765.71684230765
ac1c9f84ac,2019-12-18,30131.075485896134,28172.365841740608,22752.463693264483
907bbfc36c,2019-12-19,30132.09887255849,28174.009551468727,22757.764811864006
509d9d1817,2019-12-20,30142.847179806795,28182.11636965054,22763.982319509265
ba353b09d0,2019-12-22,30256.249167824222,28296.411548811313,22857.714811864003
b048002b01,2019-12-23,30257.98130679092,28303.874702983874,22856.892939139383
e936890351,2019-12-24,30257.34380679092,28299.20924643822,22862.438982138177
7ed322c313,2019-12-25,30255.852534174646,28300.213949408517,22859.117506238952
d1e20d6e52,2019-12-26,30256.703529013146,28313.695715085083,22855.88258560403
070df683f5,2019-12-28,30264.486979867845,28314.48444371756,22863.680448116767
6e3355fddd,2019-12-31,30271.57808329846,28320.64812690616,22864.19314652947
fda9fa30b9,2020-01-01,30289.691184780313,28356.575794597375,22886.70187608967
37a6910565,2020-01-03,30292.621410593147,28363.108750750136,22888.96657850015
c5f090c0e7,2020-01-04,30291.784535293504,28356.758357622588,22890.767883986206
52ad8a87fb,2020-01-05,30294.80120196017,28363.8595677436,22891.10116999174
91bd700f07,2020-01-06,30295.300302859272,28368.136135400364,22891.22789927672
e5033e408e,2020-01-07,30297.889774695497,28369.15832202167,22901.19227671787
a16757f509,2020-01-08,30476.27393385692,28500.115616948253,22896.4968773972
0b654aa23e,2020-01-09,30488.5218465051,28506.085219862016,22899.795451161295
2a73e37c60,2020-01-10,30494.55611918342,28506.914902154036,22904.08687420868
b1d8b4ac4d,2020-01-12,30500.601190308123,28527.492702515574,22906.657077340187
49b2ada871,2020-01-14,30502.29981806925,28521.17909923217,22908.678184625136
